state,r_gdp,r_persinc,r_pce,disp_persinc,rpc_persinc,rpc_pce,beauty_rev,beauty_est,beauty_ent,beauty_emp,beauty_wag,wellness_rev,wellness_est,wellness_ent,wellness_emp,wellness_wag,cluster,region
AK,53110.0625,40270.1125,32927.225,38263.19375,55220.9375,45149.0625,138.61534608011377,2035.6875,2026.25,2941.5625,57.91076536221937,87.86033671380062,233.4375,206.5625,1893.4375,27.20619884593625,1,alaska
AL,214820.78125,222294.9125,180782.71875,180726.6,45111.75,36694.125,581.7958148639337,10665,10206.1875,12545.1875,198.09656591751,257.2741056319637,1124.25,1119,6090.5625,74.81501615529062,1,alabama
AR,123739.95,138565.56875,108571.44375,111654.60625,46499.6875,36448.4375,254.83159282137063,5259.5,5031.5625,5528.6875,81.50788263556062,126.63512595933813,639.5625,639.0625,2543.0625,34.962696905891875,1,arkansas
AZ,331835.58125,298829.73125,258065.4125,269497.60625,43654,37756.4375,1373.3266132767706,20479.125,19226.4375,29945.25,519.7035133884162,729.5708456892156,1693.875,1518.5625,13065.8125,228.76656522237437,1,arizona
CA,2620324.59375,1980772.05625,1522931.95,1901785.73125,51255.125,39435.3125,7844.598642405185,135594.125,135594.125,170347.8125,3066.760458313338,5887.41836945532,11721.5,10129.75,84086.8125,1988.6349779730824,2,california
CO,339806.27499999997,291356.0625,232214.48125,265165.9125,53113,42400.125,1559.0214743557012,24665.625,24454,32990.0625,655.3124253300343,778.4134983163906,2009.1875,1958.125,13949.5,269.42036119141625,3,colorado
CT,269486.0875,235422.5,163370.325,212528.70625,65428.25,45398.75,1313.610330872052,21228.5625,21228.5625,29977.0625,585.4126008954319,686.4513641546924,1576.8125,1505.125,12591.6875,286.54552906330434,3,connecticut
DE,72065.85625,47841.49375,41926.25625,42222.49375,50106.0625,43956.4375,296.32488192227623,4248.8125,4248.8125,7441.0625,124.12703402054562,137.44372738503438,408,407.4375,2806,40.2452194800225,1,delaware
FL,995336.38125,976152.29375,846788.14375,891841.8562500001,47611.1875,41351.25,4822.168962525929,86333.125,86333.125,92588.25,1619.8720241380188,2087.9865751292796,5940.125,5508,31694.5625,538.4942156066481,4,florida
GA,556488.05,475348.4375,388317.69375,405044.80625,46133.8125,37712.8125,1913.4758047688244,31374.625,31270.1875,35892.875,636.5359511177512,846.1476253199631,2690.125,2671.6875,15349.25,232.7125708704513,3,georgia
HI,82449.6,63816.7125,53678.0125,63385.56875,44843.25,37725.5,353.55677574559564,4612.4375,4378.3125,7180.6875,106.84725209994876,130.99507100287,241.25,231.0625,1854.1875,31.393692484958127,1,hawaii
IA,180895.56875,163721.975,125266.98125,133201.44375,52239.9375,39982.6875,552.8818663041557,10713.5625,10224,13110.875,197.1047094374044,242.80558943814,1039.125,1039.125,8256.5625,79.66821368405999,1,iowa
ID,73406.2375,77081.98125,60298.7375,65310.125,44460.8125,34892.375,213.02669365002876,3985.375,3848.4375,5245.8125,66.457152619695,124.70912747431188,486.5625,486.5625,3335.375,33.666332282639374,1,idaho
IL,815476.4625,674422.6875,526284.54375,596071.19375,52585.125,41035.6875,3022.069906101282,45893.6875,45799.625,70799.5,1420.103461970443,1884.8985140485977,4040.1875,3870.6875,33773.5625,666.77283823366065,3,illinois
IN,350142.5,321070.15,256207.6125,268145.90625,48189.75,38469.625,970.4260184712668,17429,16084.5,26058.9375,412.9179506591575,519.1179244049206,1811.125,1807.125,12604.375,162.6511453195675,1,indiana
KS,160421.78125,154814.74375,115463.78125,128044.3875,53263.4375,39733,526.4270094062493,9461.0625,9395.1875,13236,198.22018974588937,278.15156077769564,764.875,746.75,6319.3125,80.76754654596063,1,kansas
KY,200776.93125,200057.9375,167645.51875,162823.1375,45035.9375,37745.25,531.9613006632832,9606.375,8495.5625,13125.875,188.57048147598937,286.41319144960187,993.6875,992,6519.3125,81.42040330545812,1,kentucky
LA,240918.6875,224506.60625,177121.65625,188178.2125,48707.125,38421.4375,667.8010079174612,11329.5625,11329,13284.5625,208.14251022478064,330.5401873228094,1287.0625,1275.8125,5957.75,84.16435587448125,1,louisiana
MA,521960.78125,418933.96875,321104.15625,381128.45625,61261.6875,46997.5,2406.8997086458694,36773.0625,36773.0625,56029.625,1284.7386253069662,1520.1398470170882,3240.0625,3151.1875,27745.0625,622.191115904642,3,massachusetts
MD,380885.98125,325298.33125,240380.89375,302418.7125,54025.0625,39939.375,1761.5645199754924,22672.0625,22505.1875,42130.5,852.2712321205724,872.2475154000488,1927.25,1840.125,16928.3125,296.51345918113,3,maryland
ME,63733.8,64086.7125,58968.15625,56359.0875,47454.125,43673.4375,206.0635442886756,3969.875,3969.875,4863.5625,77.64316927462187,120.20811656033376,446.1875,446.1875,2779.0625,34.833557666436874,1,maine
MI,490405.7125,471957.39375,402431.6875,401250.10625,47212.5625,40260.5,1642.0831115364915,28067.5625,27801.25,42955.625,654.3790153675619,893.6917672803269,2241.375,2192.3125,17196.6875,284.25552171434686,3,michigan
MN,344698.75625000003,301755.11875,239793.525,258961.06875,54490.25,43352.0625,1611.3566877391982,24315.125,24210.9375,40538.75,775.1415227797344,828.0490251669519,1935.625,1823.3125,17246.4375,296.94875356373564,3,minnesota
MO,311053.05,299311.8,251610.6375,247580.44375,49182.375,41353.6875,1030.1958162567369,18085.125,17642.75,25606.25,411.0110745142344,457.2806438380069,1731.375,1684.125,11744.875,149.32369511085,3,missouri
MS,110503.4875,126005.725,104197.99375,101943.625,42460.875,35111.5,258.7184337415537,4632.1875,4582.0625,5198.9375,74.27132014325687,141.04748218339313,675.3125,674.8125,3010.375,35.00077745862937,1,mississippi
MT,47724.79375,51501.8125,44791.93125,43070.1,48996.375,42677,131.9087522665506,2504.6875,2445.9375,2961.5,42.872934052485626,110.39421790742811,450,450,2971.75,27.792810870155,1,montana
NC,536444.88125,481629.875,389121.00625,403331.3,47752.25,38580.9375,1441.614319671942,25288.8125,24721.5,32077.875,548.8456235614275,1024.2332102002374,3267.75,3178.625,23481.75,308.8366242513588,3,north carolina
ND,52357.6375,44847.05,34998.15,36863.0125,60483.5625,47200.625,187.85104841647689,3279.25,3279.25,4487.0625,69.3095838673975,73.0211954076925,260.625,260.625,2024.5625,21.48972586743625,1,north dakota
NE,119603.33125,106201.53125,80082.85,87879.775,55691.625,42017.4375,373.51409066604,7625.0625,7619.625,9559.625,134.88679402948,197.3819979514994,709.0625,682.75,5654.4375,57.544177927857504,1,nebraska
NH,80028.7125,74686.49375,62177.1875,70399.5625,55150.75,45938.375,385.8706570219737,6383.4375,6383.4375,9250.125,173.3247892958975,220.35269485470187,658.9375,655.6875,4925.9375,79.44108727592437,1,new hampshire
NJ,590820.6625,509860.71875,387709.8625,485836.3125,56159.4375,42721.625,3415.579330887711,67005.4375,67005.4375,89878.6875,1588.5842614783503,1669.929765237663,3925.1875,3776.625,31667.6875,628.44034942137,3,new jersey
NM,95184.05625,89919.43125,75099,77384.5,42970.9375,35895.125,220.56286455409187,4100.8125,3607.3125,5083.1875,65.78779848962938,128.31765996772313,490,480,2617.25,28.998546362706875,1,new mexico
NV,160137.18125,138331.40625,113730.90625,123497.4125,47217.8125,38900.25,492.0312601712775,7233.5,6452.75,10131.875,168.3451640690444,322.71991826200315,741.0625,697.375,5500.5,85.35612913929313,1,nevada
NY,1575819.9875,1088357.7125,809590.0625,1004520.7125,54849.125,40806.75,5989.837656212987,123494.0625,123494.0625,148015.3125,2630.004219808494,3890.732694347831,6848.5625,5664.75,55227.125,1331.60889984926,4,new york
OH,630918.9500000001,575013.875,469013.09375,477676.8125,49228.5625,40158.5,2555.2452528496424,39848.0625,37621.4375,69225.9375,1114.7925626083124,995.4599529154162,3311.75,3192.4375,22795.75,343.3570738460369,3,ohio
OK,183284.525,196250.71875,142574.99375,162006.73125,50480.9375,36674.8125,441.4860185980656,7951,6876.6875,9394.625,136.4784489924581,227.05064632550125,890.8125,865.25,5156.125,62.08894970580375,1,oklahoma
OR,214188.4375,186779.09375,154768.85,168129.99375,45982.6875,38162.3125,696.0934978116444,12733.625,12386.9375,16101.5625,269.24945248509437,477.3343151558631,1346.125,1337,8949.25,148.32539697748064,1,oregon
PA,725938.76875,677199.96875,551278.18125,590252.40625,52561,42796.4375,3692.460144877772,70471.5625,70471.5625,100534.1875,1702.8382584966903,1376.0156293814,4187.25,4179.5625,30536.75,468.7645549252775,3,pennsylvania
RI,58246.3375,53512.55625,43082.16875,48756.9125,49604.4375,39944.125,236.77861580158813,5317.25,5317.25,5614.75,88.17159541256,144.55606258720186,448.3125,443.3125,3067.25,45.76128531012562,1,rhode island
SC,217862.9375,220504.65,188650.10625,186026.9625,44750.8125,38336.1875,688.7222701022769,12850.625,12660.4375,14700.5625,235.63824744238937,318.34619984989877,1287.125,1278,7507.9375,90.30530533295438,1,south carolina
SD,50368.11875,49522.53125,36870.9625,40794.875,57542.375,42879.4375,121.15813674756876,2246.9375,2199.3125,3184.1875,42.01375791563125,60.46681311692,311.75,310.3125,1681,17.0427851297225,1,south dakota
TN,344103.975,323671.025,255687.46875,275857.29375,48379.5625,38253.4375,1081.0856630969488,14301.9375,13232.625,24290.75,443.5372014007994,502.22261905829623,1662,1618.6875,10905.9375,150.55068176161626,1,tennessee
TX,1622932.68125,1374605.5375,1056704.7375,1229768.56875,49787.875,38269.5625,4623.847657633825,64884.25,61079.25,95603.75,1886.121161577737,2719.6665905616383,6753.75,6078.3125,46605.875,817.3077569704006,4,texas
UT,167836.73125,136302.61875,108387.89375,118725.275,44226.5,35236,473.09271649268817,9560.25,9486.375,12460.3125,157.54455736685938,220.68288571749875,749.1875,743.3125,5145.3125,62.7869355318125,1,utah
VA,512760.7,446052.26875,338135.7125,401450.4,53191,40352.875,2391.0251601783257,35867.8125,35675.4375,52885.75,1050.9200143756336,1101.3239610365724,2831.4375,2698.0625,21997.6875,349.0391908495119,3,virginia
VT,32287.79375,32004.475,28492.1125,28759.64375,50253.25,44749.9375,109.1415346892925,2172.25,2172.25,2490.125,43.611612777005625,65.46609773599937,251.0625,251.0625,1663.4375,23.0321796102,1,vermont
WA,507485.69375,384341.225,294848.86875,368238.2625,52717.5,40545.75,2041.0566100996243,33329.1875,33295.25,44053.625,957.2149663443276,1082.1070182844894,2480.1875,2415.6875,19429.1875,394.2031136198225,3,washington
WI,313439.01875,298021.775,237967.56875,249336.225,51349.8125,41014.125,1341.844201404795,24430.5,24292.0625,37480.1875,610.3864553341631,613.3023889723856,1983.875,1934.6875,16462.125,199.5648397435256,3,wisconsin
WV,74616.125,80150.375,70632.56875,65143.775,43963.875,38741.75,193.469128061265,3572.3125,3243.5,4948.5625,58.75992626110875,80.01732942164813,367.875,367.875,1888.0625,19.267368854884374,1,west virginia
WY,38721.70625,35249.4375,25022.075,30005.8125,61317.5,43528.9375,70.9467145144325,1710,1680.0625,1749,21.49065263962187,39.91552944978625,226.1875,226.1875,1011.8125,10.27079790420125,1,wyoming
